m/z,intensity
12,0.1
13,0.3
14,1.0
15,2.2
16,0.1
19,0.1
24,0.4
25,2.2
26,15.9
27,47.3
28,57.79
29,88.09
30,5.2
31,2.9
36,0.8
37,3.6
38,4.0
39,7.0
40,1.8
41,2.3
42,5.4
43,2.5
44,0.1
52,0.5
53,2.2
54,0.4
55,3.5
56,0.5
57,29.7
58,99.99
59,4.0
60,0.3
