m/z,intensity
27,10.0
29,8.6
39,12.2
41,44.1
42,3.6
43,5.0
51,3.3
53,7.7
55,17.3
56,17.9
57,4.6
65,5.0
67,5.0
69,39.7
70,7.2
77,26.2
78,4.9
79,7.6
80,2.1
81,3.6
82,2.5
83,2.3
91,25.9
92,15.9
93,99.99
94,10.0
95,4.1
105,15.1
106,2.0
107,3.1
109,5.0
119,78.5
120,9.5
121,5.6
132,2.1
133,3.1
161,7.0
204,8.0
