m/z,intensity
12,0.11
13,0.15
14,0.1
15,0.43
17,0.04
19,0.14
24,0.1
25,0.62
26,2.77
27,3.67
29,2.45
30,0.11
31,0.65
36,0.68
37,5.26
38,9.29
39,24.34
40,11.49
41,0.96
42,1.17
43,0.63
45,0.11
46,0.87
47,3.8
49,1.4
50,6.31
51,5.2
52,0.96
53,3.54
54,0.11
55,7.98
56,0.31
60,0.69
61,2.88
62,4.33
63,7.16
64,2.73
65,26.6
66,38.7
67,2.73
68,1.09
72,0.11
73,0.94
74,2.15
75,1.06
76,0.77
77,0.83
79,1.06
91,0.1
94,99.99
95,6.82
96,0.38
